borough,neigborhood,studio,1_bedroom,2_bedroom,3_bedroom
manhatan,Chelsea,"$2,794","$4,062","$6,997","$11,031"
manhatan,East Village,"$2,608","$3,280","$4,044","$5,289"
manhatan,Flatiron/Union Square,"$3,632","$4,645","$8,267","$15,969"
manhatan,Gramercy Park,"$2,569","$3,656","$5,413","$7,226"
manhatan,Greenwich Village,"$2,828","$4,116","$8,000","$12,418"
manhatan,Battery Park City,"$2,823","$3,573","$6,859","$10,574"
manhatan,Financial District,"$2,955","$3,965","$6,065","$10,653"
manhatan,Lower East Side,"$2,710","$3,524","$4,699","$5,543"
manhatan,NoHo,"$5,121","$6,117","$9,678","$16,413"
manhatan,NoLiTa/Little Italy,"$2,683","$4,280","$4,833","$10,648"
manhatan,SoHo,"$3,589","$4,556","$9,711","$13,621"
manhatan,Tribeca,"$3,502","$5,543","$9,650","$15,886"
manhatan,West Village,"$2,765","$4,169","$7,026","$11,903"
manhatan,Beekman/Sutton Place,"$2,676","$3,622","$5,217","$6,497"
manhatan,Midtown East,"$2,485","$3,613","$6,711","$12,280"
manhatan,Midtown West,"$2,589","$3,680","$6,138","$14,892"
manhatan,Murray Hill,"$2,474","$3,426","$4,653","$6,568"
manhatan,Turtle Bay/United Nations,"$2,237","$3,430","$5,133","$12,517"
manhatan,Carnegie Hill,"$2,307","$3,266","$5,547","$11,529"
manhatan,Lenox Hill,"$2,316","$3,277","$5,106","$8,553"
manhatan,Park/Fifth Ave. to 79th St.,"$4,289","$4,535","$12,173","$26,970"
manhatan,Roosevelt Island,"$2,696","$3,257","$4,411","$5,445"
manhatan,Yorkville,"$2,215","$2,838","$4,181","$7,084"
manhatan,Broadway Corridor,"$2,328","$3,851","$4,616","$6,197"
manhatan,Central Park West,"$2,362","$3,563","$7,266","$14,463"
manhatan,Lincoln Center,"$2,662","$4,033","$6,484","$9,851"
manhatan,Morningside Heights,"$2,329","$2,929","$3,179","$4,105"
manhatan,Riverside Dr./West End Ave.,"$2,330","$3,414","$5,966","$9,020"
manhatan,East Harlem,"$2,010","$2,367","$3,268","$3,880"
manhatan,Hamilton Heights,"$1,992","$2,118","$2,589","$3,174"
manhatan,Harlem,"$1,899","$2,389","$3,079","$4,148"
manhatan,Inwood,"$1,657","$1,876","$2,273","$2,570"
manhatan,Washington Heights,"$1,978","$2,039","$2,425","$2,859"
brooklyn,Bedford-Stuyvesant,"$2,044","$2,297","$2,611","$3,214"
brooklyn,Boerum Hill,"$2,092","$2,854","$4,356","$4,921"
brooklyn,Brooklyn Heights,"$2,509","$3,270","$5,983","$8,654"
brooklyn,Bushwick,"$2,050","$2,373","$2,749","$2,851"
brooklyn,Carroll Gardens,"$2,271","$2,634","$3,914","$5,027"
brooklyn,Clinton Hill,"$2,409","$2,776","$3,450","$4,204"
brooklyn,Cobble Hill,"$2,100","$2,734","$4,222","$6,122"
brooklyn,Crown Heights,"$1,806","$2,310","$2,582","$3,185"
brooklyn,Downtown Brooklyn,"$2,443","$3,218","$4,548","$6,048"
brooklyn,DUMBO,"$3,189","$4,132","$6,086","$9,144"
brooklyn,Fort Greene,"$2,957","$2,508","$4,213","$6,760"
brooklyn,Gowanus,"$2,293","$2,796","$3,588","$3,687"
brooklyn,Greenpoint,"$2,347","$2,812","$3,708","$5,278"
brooklyn,Kensington,"$1,724","$1,866","$2,925","$3,215"
brooklyn,Park Slope,"$2,795","$2,739","$3,422","$4,883"
brooklyn,Prospect Heights,"$2,393","$2,823","$3,621","$4,320"
brooklyn,Prospect Lefferts Gardens,"$1,933","$2,094","$2,911","$3,423"
brooklyn,Red Hook,-,"$2,300","$4,287",-
brooklyn,South Slope - Greenwood Heights,"$2,400","$2,248","$2,780","$4,000"
brooklyn,Sunset Park,"$1,400","$1,912","$2,300","$2,500"
brooklyn,Williamsburg,"$2,712","$3,166","$4,043","$5,081"
brooklyn,Windsor Terrace,"$1,939","$2,563","$2,877","$3,679"